Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located on the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California, _Santa_Barbara","https://www.history.ucsb.edu/wp-content/uploads/La
goonFall20141.jpg"
Minard Castle,Ancient ruins of an old Irish castle,52.12606,-10.11046,http://www.megalithicireland.com/Minard%20Castle.html,https://lh3.googleusercontent.com/proxy/LcG8hdW6sN9XzYoT1gkYkUaHfGs2Qo_AVXU2tQ7AdVErc6RT7vX43IaOAp28N7x9WbP-7C7B7J2Qdhc3xq01puPa1uP1USihfQPeFxfAC2DaG_ma8Giulv0
Mount Rushmore,Historic memorial of presidents carved into mountain in South Dakota,43.87913,-103.45994,https://en.wikipedia.org/wiki/Mount_Rushmore,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Mount_Rushmore_detail_view_%28100MP%29.jpg/426px-Mount_Rushmore_detail_view_%28100MP%29.jpg
Houmas House,One of New Orleans oldes plantation houses located right on the Mississippi river,30.14116,-90.93425,https://en.wikipedia.org/wiki/The_Houmas,https://lh3.googleusercontent.com/proxy/RfAr52gc_dBkxTFkRqcg0lmJrRbZw3So_nIh93UaGHLSN0MesAiaBt28A4ACRYxqSdE7lYm2_gPIXf45DxGjAyTT2u1kYcFu_hKAt93Zv-V-3u04mG2ihaaxlJCv2AjTD9FRT5auhdbx-pfknpkKfu_qN5HZZPw=w408-h271-k-no
Mt. Fuji,"Massive volcano located in the heart of Tokyo, Japan",35.36301,138.72748,https://en.wikipedia.org/wiki/Mount_Fuji,https://www.tripsavvy.com/thmb/xmHHjutbUKGMvgxh5Dr1F_BVXB8=/3435x2576/smart/filters:no_upscale()/fuji-mountain-in-autumn-822273028-5a6a8a9c3418c600363958d3.jpg
Great Falls,The Potomac river's most memorable waterfall located between the states Virginia and Maryland,38.99697,-77.25289,https://www.nps.gov/grfa/planyourvisit/falls-viewing.htm,https://www.funinfairfaxva.com/wp-content/uploads/2015/08/Great-Falls-from-overlook-1.jpg
